ADM1_EN,ADM2_EN,a7,a8,a10_child,a10_adult,a10_elder,a11,a14,a9_male,a9_female,g5,g6,g8,g9,g19,g4,g7_i,g7_ii,g7_iii,g7_iv,g7_v,g7_vi,g7_vii,g7_viii,g7_ix,g7_x,g7_xi,g7_xii,g7_xiii,g7_xiv,a13,g44,g45_i,g45_ii,g45_iii,g45_iv,g45_v,g45_vi,g45_vii,b5,b6,b7,g15_i,g15_ii,g15_iii,g29,g25,g26,g28,g34_i,g34_ii,g34_iii,g34_iv,g34_v,g34_vi,g34_vii,g34_viii,g34_ix,g34_x,g34_xi,g32,g35,c3,g56,g57,c2,g95,g96,g97,g99,g98,b1,b3,g102,g37,g38,g39,b2,g41,a16,a17,g85,g89,g68,g66,g54,g54_i,g54_ii,g54_iii,g54_v,g54_vi,c9,g61,g62_i,g62_ii,g63,g51,g51b,a12,g53a,g53b_i,g53b_ii,g53b_iii,g53b_iv,g53b_v,g53b_vi,g53b_vii,g52,a22,a26_i,a26_ii,a26_iii,a26_iv,a26_xv,a26_v,a26_vi,a26_vii,a26_viii,a26_ix,a26_x,a26_xi,a26_xii,a26_xiii,a26_xiv,a15_i,a15_ii,a15_iii,a15_iv,a15_v,a15_xiv,a15_vi,a15_viii,a15_ix,a15_x,a15_xiii,a15_xii,a15_xi,a15_xv,a15_xvi,a15_xvii,a15_xviii,a15_xix,a15_xx,a15_xxi,a15_xxiii,a15_xxiv,g67,g73,g74,f7b,d1_ii,d1_iii,d1_iv,d1_v,d1_vi,d1_vii,d1_viii,d1_i,d1_ix,d1_x,d1_xi,d1_xii,d1_xiii,d2_ii,d2_iii,d2_iv,d2_v,d2_vi,d2_i,d2_vii,d2_viii,d2_ix,d2_x,d3_ii,d3_iii,d3_iv,d3_v,d3_i,d3_vi,d3_vii,d3_viii,d3_ix,d3_x,d3_xi,d3_xii,d3_xiii,d3_xiv,d3_xv,d4,d5_i,d5_ii,d5_iii,d5_iv,d5_v,d5_vi,d5_vii,d5_viii,d5_ix,d5_x,d6,d7,d10,d12,d15,indicative
Al-Anbar,Al-Falluja,6.179854849,5.831883331,0.447849947,0.516404981,0.035745072,0.156139972,0.156139972,0.479498446,0.520501554,0.815556489,0.815556489,0.980981532,0.124911978,0.071757315,0.184443511,0.07780953,0,0.333333333,0.07780953,0.23342859,0,0,0,0,0.177714273,0.127761902,0.177714273,0,0.099904743,0.016174148,0.303936078,0.721803964,0.170928049,0.026065345,0.133333333,0.481202642,0.133333333,0,0.554590783,0.222588194,0.141817914,0.968772006,0.031227994,0,0.756984985,1,0.61986348,1,0.624200233,0.012328727,0,0.049314907,0,0.07397236,0,0.384778494,0.243835637,0.032572283,0,0.791029688,0.460319037,0.112702451,0.019201055,0.057055403,0.156139972,0.945057129,0.406668105,0,0.877788315,0.965367535,0.859474025,0.921803964,0.965367535,0.369923109,0.638061355,0.069264929,0.151443563,1,0.975580946,0.162244736,0.83294244,0.255108127,0.038893331,0.063529674,0.783541254,0.565624786,0.724465051,0.571055082,0.263051588,0,0.746875946,0.009509234,0.009509234,0,0.038746551,0.734972898,0.66845343,0,0.006104763,0.006104763,0,0,0,0,0,0,0.462236685,0.610354246,0.683392474,0.066225574,0.29597595,0.440396983,0.013245115,0.229750376,0.43453833,0.013245115,0,0.067753382,0.114875188,0,0.02649023,0.123789457,0,0.113241337,0.022648267,0.045296535,0.085584115,0,0,0.033972401,0,0.59581797,0.492594542,0.559233119,0.04660276,0.057926894,0,0.117160012,0,0.051611714,0.028963447,0.028963447,0.081881386,0.011324134,0.022648267,0.576872432,0.045296535,0.528996205,0.835836024,0.14381403,0.221296254,0.803826977,0.490842855,0.245715308,0.062455989,0.351021057,0.461023214,0.006104763,0.053650932,0,0.015613997,0.028527701,0.633481361,0.512561615,0.194764669,0.493543148,0.115990506,0.094975922,0.066564636,0.29748654,0.015613997,0,0.431791336,0.523362788,0.606245599,0.530875906,0.086875043,0.131720918,0.0726694,0.021718761,0,0.055647048,0,0,0.006104763,0,0,0.711551347,0.134466894,0.871143709,0.093548605,0,0,0.017159024,0,0.120276778,0,0,0.795743765,0.190892149,0.013364086,0.835836024,0.261329306,1
Al-Sulaymaniyah,Al-Sulaymaniyah,6.066776321,6.133714308,0.55580453,0.437104513,0.007090957,0.04513325,0.034692898,0.506202383,0.493797617,0.559749815,0.57706033,0.834043272,0.52307649,0.034621029,0.42293967,0,0,0.5286645,0,0.26433225,0,0,0,0.092846404,0,0,0,0,0.160580048,0.002747438,0.338478769,0.870510568,0.152882926,0.152882926,0,0,0.023393495,0,0.692389608,0.078395399,0.213174616,1,0,0,1,1,0.246481944,1,0.761652366,0.052605656,0,0.020943756,0.54749285,0.059586908,0,0.168535112,0.045624404,0,0,0.864155875,0.177252475,0.0586753,0.002291482,0.014975469,0.012683986,1,0.108184671,0,0.647463203,0.997708518,0.917021636,1,0.975803155,0.164730154,0.547217888,0.328395399,0.017266951,1,0.901466254,0.96775758,1,0.012683986,0.138013488,0.157742128,0.239090459,0.163665245,0.110637818,0.074877343,0.030019727,0,0.078107226,0,0,0,0,0.034549509,0.029711567,0.012683986,0.002291482,0,0.002291482,0,0,0,0,0,0,0.718984154,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.300085827,0.696304548,0.319060706,0.109907903,0.068514393,0,0.394794349,0,0.009404503,0.46582574,0.319226579,0,0,0,0,0,0,0,0,0,0,0,0.319226579,0.319060706,0.027659455,0.747931719,0.970049063,0.580686881,0.997708518,0.134779217,0,0.012683986,0,0,0,0.267266951,0,0,0,0.967919246,0.986251105,0.744190461,0.013748895,0.004582965,0.006874447,0.011457412,0.019558433,0.002291482,0,0.618738839,0.957365077,0.039116867,0.987316014,0.377904769,0.004582965,0,0,0,0.002291482,0,0,0,0,0,0.959656559,0.669906574,0.971177757,0,0,0,0.013217214,0.044427272,0.691565372,0,0,0.499360931,0.467041196,0,0.747931719,0,1
Al-Sulaymaniyah,Kalar,4.80952381,4.793650794,0.474294533,0.485015117,0.04069035,0.206349206,0.174603175,0.513088939,0.486911061,0.526315789,0.526315789,0.793650794,0.444444444,0,0.473684211,0,0,0.444444444,0,0.388888889,0,0,0,0.166666667,0,0,0,0,0.111111111,0,0.277777778,1,0,0,0,0,0.444444444,0,0.682539683,0.047619048,0.19047619,1,0,0,1,1,0.285714286,1,0.586206897,0.068965517,0,0,0.551724138,0.344827586,0,0.275862069,0.068965517,0,0,0.666666667,0.26984127,0.095238095,0,0,0.015873016,1,0.746031746,0,0.634920635,1,0.968253968,0.909090909,0.920634921,0.142857143,0.46031746,0.317460317,0.047619048,1,1,1,0.952380952,0,0.3,0.170731707,0.338983051,0.174603175,0.112903226,0.19047619,0.112903226,0,0.166666667,0,0,0,0,0.058823529,0.058823529,0.031746032,0,0,0,0,0,0,0,0,0,0.571428571,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.46031746,0.619047619,0.126984127,0.111111111,0.206349206,0,0.349206349,0,0.126984127,0.492063492,0.126984127,0.015873016,0.031746032,0,0.015873016,0,0,0,0,0,0,0,0.126984127,0.126984127,0,0.698113208,0.984126984,0.507936508,1,0.095238095,0,0,0,0.063492063,0,0.26984127,0,0,0,0.73015873,0.777777778,0.714285714,0.19047619,0.142857143,0.063492063,0.031746032,0.047619048,0,0,0.396825397,0.888888889,0.222222222,0.984126984,0.428571429,0,0,0,0,0,0,0,0,0,0,0.841269841,0.58490566,0.830188679,0,0,0,0,0.037735849,0.283018868,0,0,0.660377358,0.245283019,0,0.698113208,0,1
Baghdad,Al-Kadhmiyah,6.266666667,4.822222222,0.287655924,0.682784993,0.029559083,0.088888889,0.066666667,0.461486291,0.538513709,0.625,0.625,0.955555556,0.155555556,0,0.375,0.333333333,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.181818182,0.833333333,0.333333333,0.166666667,0,0,0,0,0.4,0.311111111,0.022222222,1,0,0,1,1,0.844444444,1,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.444444444,0.044444444,0,0,0.133333333,1,0.266666667,0,0.822222222,1,0.8,1,0.955555556,0.533333333,0.688888889,0,0.244444444,0.955555556,1,0.288888889,0.644444444,0.466666667,0,0,0.266666667,0.155555556,0.2,0.088888889,0.044444444,0,0.5,0,0,0,0,0.193548387,0.133333333,0,0,0,0,0,0,0,0,0,0.366666667,0.533333333,0.476190476,0.380952381,0.285714286,0.19047619,0.047619048,0.095238095,0,0.047619048,0,0.19047619,0.428571429,0.047619048,0.142857143,0,0,0.375,0.041666667,0.166666667,0.208333333,0,0,0.041666667,0,0.583333333,0.041666667,0.041666667,0,0.041666667,0,0.083333333,0,0,0,0,0,0,0,0.041666667,0.166666667,0.088888889,1,0.422222222,0.444444444,0.488888889,0.644444444,0.577777778,0.133333333,0.022222222,0.022222222,0,0.022222222,0,0,0,0.466666667,0.311111111,0.511111111,0.422222222,0.333333333,0.111111111,0.022222222,0.022222222,0,0,0.577777778,0.533333333,0.377777778,0.422222222,0.111111111,0.022222222,0.2,0.044444444,0.022222222,0.177777778,0,0.022222222,0,0,0,0.333333333,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0.333333333,0.133333333,0,1,0.133333333,1
Baghdad,Al-Risafa,5,4.066666667,0.309303351,0.612918871,0.077777778,0.159090909,0.159090909,0.410511464,0.589488536,0.8,0.8,0.933333333,0.111111111,0,0.2,0.5,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.181818182,0.428571429,0.142857143,0.285714286,0.428571429,0.142857143,0.142857143,0,0.577777778,0.266666667,0.044444444,0.977777778,0.022222222,0,0.888888889,1,0.888888889,1,0.411764706,0,0,0,0,0,0,0.058823529,0.147058824,0,0,0.6,0.355555556,0.066666667,0,0.022222222,0.111111111,1,0.177777778,0,0.866666667,1,0.466666667,0.857142857,0.977777778,0.333333333,0.555555556,0.111111111,0.044444444,0.977777778,1,0.822222222,0.555555556,0.133333333,0,0,0.045454545,0.044444444,0.022222222,0.022222222,0.022727273,0,1,0,0,0,0.022222222,0.375,0.068965517,0,0.022222222,0,0,0,0,0,0,0,0.344827586,0.488888889,0.55,0.35,0.5,0.55,0.05,0.1,0.25,0,0,0,0,0,0,0,0,0.32,0.12,0.12,0.04,0,0,0.04,0,0.32,0.28,0.12,0,0.04,0,0.04,0,0.16,0,0.04,0.16,0.04,0.08,0.12,0.12,0.133333333,0.909090909,0.377777778,0.333333333,0.6,0.444444444,0.377777778,0.088888889,0.222222222,0.266666667,0.022222222,0.088888889,0,0.022222222,0,0.488888889,0.533333333,0.355555556,0.266666667,0.377777778,0.111111111,0,0,0,0,0.422222222,0.644444444,0.555555556,0.377777778,0.133333333,0.244444444,0.088888889,0,0.022222222,0.111111111,0,0,0,0,0,0.488888889,0.272727273,0.863636364,0,0,0,0.227272727,0,0.181818182,0,0,0.954545455,0.045454545,0,0.909090909,0.333333333,1
Diyala,Baquba,5.088888889,5.088888889,0.475714286,0.501322751,0.022962963,0.177777778,0.177777778,0.502671958,0.497328042,0.885714286,0.885714286,1,0.066666667,0.028571429,0.114285714,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0.666666667,0.333333333,0,0,0.755555556,0.177777778,0.066666667,0.755555556,0.244444444,0,0.8,1,0.6,1,0.277777778,0,0,0,0,0.166666667,0,0.222222222,0.222222222,0,0,0.133333333,0.422222222,0.111111111,0.045454545,0.088888889,0.022222222,0.755555556,0.444444444,0,0.844444444,0.888888889,0.977777778,1,1,0.377777778,0.555555556,0.511111111,0.133333333,1,1,0.311111111,1,0.133333333,0,0.081081081,0.581395349,0.409090909,0.272727273,0.386363636,0.068181818,0,0.6,0,0,0,0,0.097560976,0.097560976,0,0,0,0,0,0,0,0,0,0.341463415,0.533333333,0.56,0,0.4,0.44,0,0.36,0.44,0,0,0.24,0.04,0,0.16,0,0.12,0,0,0,0,0,0,0,0,0.8,0.7,0.65,0.05,0.25,0,0.05,0,0,0,0,0,0,0,0.7,0,0.511111111,0.75,0.444444444,0.555555556,0.422222222,0.177777778,0.2,0.133333333,0.177777778,0.288888889,0.066666667,0.044444444,0.022222222,0,0,0.422222222,0.444444444,0.066666667,0.377777778,0.133333333,0.488888889,0,0.222222222,0.111111111,0.088888889,0.377777778,0.4,0.466666667,0.666666667,0.4,0.133333333,0.066666667,0,0,0.022222222,0.044444444,0,0,0,0,0.355555556,0.0625,1,0,0,0,0.25,0,0.25,0,0,1,0,0,0.75,0.533333333,1
Diyala,Khanaqin,5.393908639,5.327793337,0.439561945,0.499515117,0.060922938,0.138037377,0.160136041,0.502733248,0.497266752,0.864817967,0.864817967,0.957881804,0.127006916,0.004143835,0.135182033,0,0,0.36389926,0,0.227009693,0,0,0,0.061307485,0.037791041,0.194514848,0,0,0.183922456,0,0.098506632,0.937857097,0.552181425,0.062142903,0.345158376,0.517737563,0.1438721,0,0.752896105,0.177799459,0.068239014,0.856332975,0.143667025,0,0.276319043,1,0.134221769,1,0.261665603,0.024067399,0,0.018786186,0.033815134,0.182142304,0,0.263971982,0.173918546,0,0,0.151122601,0.496309212,0.073894517,0.030622848,0.089069276,0.013254028,0.715829228,0.542184469,0,0.846713864,0.924184752,0.916560372,0.977603834,0.983580807,0.247284586,0.589183694,0.511557971,0.110102518,0.98796623,1,0.361343876,1,0.097523109,0.098928494,0.095802249,0.682903326,0.473464399,0.367746864,0.492526295,0.081350542,0,0.68901848,0,0,0,0.003818254,0.076092031,0.061163841,0,0,0,0,0,0,0,0,0,0.284349839,0.401212532,0.577854039,0.018812259,0.429811907,0.512014648,0,0.329160055,0.546878066,0.011858553,0,0.111798164,0.021929478,0,0.13480303,0,0,0.25649911,0.217969887,0.018321365,0.024428487,0.048856973,0,0.068600297,0.006107122,0.333292712,0.43905276,0.530778433,0.051334089,0.289906991,0,0.012214243,0,0.067447407,0,0.01505816,0.00752908,0,0,0.556628878,0.018321365,0.394457547,0.725948164,0.454796687,0.533159141,0.533048884,0.160161897,0.237872021,0.069979054,0.221089768,0.346212209,0.043470999,0.051143523,0.003008443,0,0,0.592808209,0.433033549,0.232412662,0.348313632,0.10603222,0.299552077,0.010426276,0.174765161,0.155184578,0.049307193,0.345449623,0.598983495,0.45405847,0.675340816,0.34555988,0.102323303,0.019090222,0,0,0.009545111,0.022799138,0.003708917,0.009545111,0,0.003008443,0.441310258,0.321880415,1,0.095438968,0,0,0.129774154,0,0.224963282,0,0,0.815939133,0.143158452,0,0.732100981,0.458600407,1
Duhok,Al-Amadiya,6.03125,5.4375,0.411955536,0.506273631,0.081770833,0.06557377,0.081967213,0.546951746,0.453048254,0.717948718,0.743589744,0.96875,0.109375,0.025641026,0.256410256,0.090909091,0,0,0,0,0,0,0,0.090909091,0,0,0.363636364,0.181818182,0.454545455,0.018867925,0.142857143,1,0.1,0,0.1,0,0.1,0,0.71875,0.03125,0.0625,0.984375,0.015625,0,0.171875,1,0.046875,1,0.72,0,0,0,0,0.28,0,0.02,0.06,0,0,0.71875,0.390625,0.1875,0.015873016,0.09375,0.03125,0.984375,0.625,0,0.859375,0.90625,0.671875,1,0.888888889,0.28125,0.640625,0.40625,0.078125,0.984375,1,0.578125,0.59375,0.078125,0.019607843,0.945454545,0.083333333,0,0.016666667,0.033333333,0.016666667,0,0.416666667,0,0,0,0,0.31372549,0.274509804,0,0,0,0,0,0,0,0,0,0.039215686,0.515625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396825397,0.253968254,0.079365079,0.111111111,0.015873016,0.015873016,0.111111111,0.015873016,0.047619048,0.301587302,0.285714286,0,0.111111111,0,0.126984127,0,0.015873016,0.015873016,0.047619048,0.111111111,0.015873016,0,0.285714286,0.079365079,0.53125,0.704918033,0.515625,0.375,0.421875,0.15625,0.3125,0.03125,0.125,0.34375,0,0.015625,0.015625,0,0.078125,0.53125,0.28125,0.328125,0.03125,0,0.015625,0.03125,0.234375,0.046875,0.015625,0.34375,0.28125,0.28125,0.546875,0.015625,0.171875,0.046875,0,0,0.046875,0,0,0,0,0,0.953125,0.672131148,0.967213115,0,0,0,0.032786885,0.409836066,0.327868852,0,0,0.885245902,0.06557377,0,0.728813559,0.15625,1
Duhok,Sumail,6.513243117,6.236982108,0.459718813,0.495126396,0.045154791,0.05781967,0.044593468,0.508543588,0.491456412,0.707931031,0.713871925,1,0.158178952,0.030802917,0.286128075,0.087907188,0,0.247174897,0.022679302,0.122071853,0,0.01164229,0,0,0.115361349,0.041396058,0.180796267,0.013253868,0.210988016,0,0.242163553,0.747772219,0.24607943,0.104030269,0.233568468,0.070225008,0.07988271,0.01617721,0.750556264,0.109698547,0.092949822,0.961355177,0.038644823,0,0.246556506,0.945805937,0.10387755,0.943682855,0.810910155,0.007564076,0,0,0.005884509,0.26374286,0,0.110310398,0.074508895,0.002676885,0,0.732948591,0.419077701,0.145914083,0.019129508,0.089708459,0.062654194,0.992494948,0.39248118,0,0.963154118,0.918116731,0.769876932,0.637397013,0.885891835,0.5039576,0.74506759,0.409459656,0.261535735,0.980552508,1,0.584728017,0.692510618,0.099064012,0.112307914,0.917824895,0.021994416,0.012629865,0.005940359,0,0,0,0.467663462,0,0,0,0,0.519250486,0.489452205,0.007417133,0.018548345,0.018548345,0,0,0,0,0,0,0.191538176,0.357851341,0.539656731,0,0.21248025,0.202686392,0,0.135124262,0.321071868,0.14491812,0,0.102944899,0,0,0,0,0,0.463224985,0.212889712,0.200493034,0.111461937,0.012951185,0,0.060328235,0,0.073855949,0.251193561,0.347646635,0.006877691,0.077098613,0,0.281871006,0.012213425,0.013598949,0.00671834,0.00473487,0.099287974,0.010348497,0.002615812,0.352617714,0.200493034,0.387279693,0.56151786,0.506172971,0.214069332,0.602799395,0.156600972,0.193204574,0.0260643,0.297876957,0.426631066,0.009018627,0.051004036,0.016167565,0.004246163,0.026213227,0.663661611,0.432775697,0.123299048,0.037218576,0.014235091,0.007597848,0.01199615,0.14493286,0.015552578,0,0.270716223,0.45181769,0.353933515,0.545542591,0.024983684,0.133423739,0.030707538,0.01245616,0.00556285,0.033194424,0,0,0,0.005650769,0,0.826729917,0.549199999,0.884293601,0.010706135,0,0,0.037155379,0.284360322,0.340696016,0,0.003077207,0.79444278,0.073219247,0.020982896,0.583955689,0.12026333,1
Duhok,Zakho,7.272158487,6.444037984,0.457758284,0.50470513,0.037536586,0.049017388,0.03110477,0.496123674,0.503876326,0.814721658,0.824438297,0.991209529,0.122734061,0.003481782,0.175561703,0.068402708,0,0.108718568,0.009396085,0.242122212,0,0,0,0.021523691,0.109453514,0.009396085,0.274918368,0,0.2073708,0.005152325,0.372486859,0.693806924,0.387005784,0.004924517,0.223190643,0.187788753,0.077159896,0.030477373,0.765724642,0.049213435,0.024124294,0.961361593,0.038638407,0,0.36308206,0.970640066,0.204591129,0.970640066,0.806038167,0,0,0,0.002789184,0.254639216,0.007021187,0.057203823,0.065156008,0.002789184,0,0.695783559,0.432880294,0.191578052,0.025960009,0.095269846,0.041831298,0.997714504,0.328502378,0,0.905078541,0.959174322,0.78908919,0.914588972,0.867833489,0.548936471,0.736301734,0.365731894,0.242876793,0.994611808,1,0.676608985,0.70383849,0.023533161,0.070456272,0.90591483,0.036599159,0.011225193,0,0.01657557,0.003080404,0,0.566624859,0.007771913,0.007771913,0,0,0.312515914,0.304637962,0.010648543,0.018462653,0.018462653,0,0,0,0,0,0,0.100719051,0.33707186,0.433411422,0,0.274720693,0.232904602,0,0.064795564,0.058963283,0.032397782,0,0.20050682,0,0,0,0,0,0.423170341,0.217785966,0.147305246,0.077550674,0.006061734,0.00130642,0.110390603,0.002992628,0.070304667,0.368558213,0.361276746,0.00130642,0.113185358,0,0.379754291,0.018369614,0.005370285,0.013075808,0,0.060824849,0.016524703,0.006061734,0.362583166,0.147305246,0.341955373,0.669363515,0.487370759,0.303214448,0.576625412,0.168041768,0.241469691,0.036078039,0.259873468,0.353340297,0,0.016829225,0,0,0.024173715,0.633655274,0.411523975,0.123962624,0.037998469,0.021297086,0.013525172,0.002876629,0.113735983,0.042343394,0,0.24739095,0.362602089,0.419171171,0.555782971,0.004570992,0.160961721,0.012342905,0,0.002876629,0.076062422,0,0,0,0,0,0.959942102,0.748959012,0.87935449,0.034172481,0,0,0.027696517,0.347944745,0.388459374,0,0,0.787101777,0.080384884,0.006977717,0.676871989,0.182526263,1
