ADM1_EN,ADM2_EN,a7,a8,a10_child,a10_adult,a10_elder,a11,a14,a9_male,a9_female,g5,g6,g8,g9,g19,g4,g7_i,g7_ii,g7_iii,g7_iv,g7_v,g7_vi,g7_vii,g7_viii,g7_ix,g7_x,g7_xi,g7_xii,g7_xiii,g7_xiv,a13,g44,g45_i,g45_ii,g45_iii,g45_iv,g45_v,g45_vi,g45_vii,b5,b6,b7,g15_i,g15_ii,g15_iii,g29,g25,g26,g28,g34_i,g34_ii,g34_iii,g34_iv,g34_v,g34_vi,g34_vii,g34_viii,g34_ix,g34_x,g34_xi,g32,g35,c3,g56,g57,c2,g95,g94,g96,g97,g99,g98,b1,b3,g46,g102,g37,g38,g39,b2,g41,a16,a17,g85,g89,g68,g66,g64,g65_i,g65_ii,g65_iii,g65_iv,g65_v,g65_vi,g65_vii,g65_viii,g65_ix,g65_x,g54,g54_i,g54_ii,g54_iii,g54_v,g54_vi,c9,g61,g62_i,g62_ii,g63,g51,g51b,a12,g53a,g53b_i,g53b_ii,g53b_iii,g53b_iv,g53b_v,g53b_vi,g53b_vii,g52,a22,a24,a25,a29,a26_i,a26_ii,a26_iii,a26_iv,a26_xv,a26_v,a26_vi,a26_vii,a26_viii,a26_ix,a26_x,a26_xi,a26_xii,a26_xiii,a26_xiv,a15_i,a15_ii,a15_iii,a15_iv,a15_v,a15_xiv,a15_vi,a15_vii,a15_viii,a15_ix,a15_x,a15_xiii,a15_xii,a15_xi,a15_xv,a15_xvi,a15_xvii,a15_xviii,a15_xix,a15_xx,a15_xxi,a15_xxii,a15_xxiii,a15_xxiv,g67,g73,g74,f7,f7b,d1_ii,d1_iii,d1_iv,d1_v,d1_vi,d1_vii,d1_viii,d1_i,d1_ix,d1_x,d1_xi,d1_xii,d1_xiii,d2_ii,d2_iii,d2_iv,d2_v,d2_vi,d2_i,d2_vii,d2_viii,d2_ix,d2_x,d3_ii,d3_iii,d3_iv,d3_v,d3_i,d3_vi,d3_vii,d3_viii,d3_ix,d3_x,d3_xi,d3_xii,d3_xiii,d3_xiv,d3_xv,d4,d5_i,d5_ii,d5_iii,d5_iv,d5_v,d5_vi,d5_vii,d5_viii,d5_ix,d5_x,d6,d7,d10,d12,d15,indicative
Al-Anbar,Al-Falluja,5.392156863,4.862745098,0.459129814,0.482731375,0.058138811,0.205882353,0.196078431,0.484303823,0.515696177,0.881578947,0.881578947,0.990196078,0.117647059,0.092105263,0.118421053,0.777777778,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0.111111111,0.021505376,0.347826087,0.615384615,0.384615385,0.076923077,0.153846154,0,0.153846154,0,0.549019608,0.088235294,0.058823529,0.970588235,0.029411765,0,0.549019608,0.990196078,0.401960784,0.990196078,0.298245614,0,0,0,0,0.01754386,0,0.01754386,0.087719298,0.01754386,0,0.480392157,0.303921569,0.058823529,0.019607843,0.019607843,0.019607843,1,1,0.088235294,0.941176471,0.843137255,0.931372549,0.68627451,0.941176471,0.375,0.970588235,0.519607843,0.754901961,0.029411765,0.049019608,0.931372549,0.519607843,0.284313725,0.803921569,0.37254902,0.078431373,0.31372549,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.666666667,0,0,0,0,0.333333333,0.245098039,0.019607843,0,0,0,0,0,0,0,0,0.215686275,0.049019608,1,0.900990099,0.712328767,0.818181818,0.181818182,0.454545455,0.363636364,0.090909091,0,0.090909091,0,0,0,0,0,0,0,0,0.703296703,0.340659341,0.373626374,0.10989011,0.10989011,0.065934066,0.021978022,0,0,0.021978022,0.054945055,0.384615385,0.032967033,0.065934066,0,0,0,0.065934066,0,0,0.065934066,0,0,0,0.395604396,0.373626374,0.12745098,0,0.833333333,0.441176471,0.558823529,0.666666667,0.37254902,0.401960784,0.049019608,0.147058824,0.225490196,0,0.019607843,0,0,0,0.598039216,0.431372549,0.362745098,0.588235294,0.284313725,0.137254902,0.019607843,0.029411765,0,0,0.529411765,0.607843137,0.637254902,0.519607843,0.098039216,0.12745098,0.068627451,0.019607843,0.019607843,0.019607843,0,0,0,0,0,0.117647059,0.333333333,1,0,0,0,0.583333333,0.166666667,0,0,0,0.666666667,0.166666667,0.083333333,0.833333333,0.362745098,0
Al-Anbar,Al-Ramadi,4.781914894,4.643617021,0.403761398,0.575094985,0.021143617,0.150537634,0.11827957,0.495972644,0.504027356,0.791304348,0.808695652,0.904255319,0.117021277,0.052173913,0.191304348,0.541666667,0.083333333,0.166666667,0.041666667,0.166666667,0,0,0,0,0,0.041666667,0,0.041666667,0,0.011904762,0.229166667,0.352941176,0.352941176,0.294117647,0.117647059,0.058823529,0.352941176,0,0.60106383,0.074468085,0.175531915,1,0,0,0.446808511,0.925531915,0.329787234,0.925531915,0.324786325,0.008547009,0.008547009,0.017094017,0,0.017094017,0,0.05982906,0.111111111,0.042735043,0,0.531914894,0.340425532,0.106382979,0.005319149,0.005319149,0.14893617,0.914893617,0.973404255,0.303191489,0.994680851,0.835106383,0.968085106,0.569148936,0.727272727,0.280821918,0.919786096,0.537234043,0.680851064,0,0.026595745,0.930851064,0.106382979,0.611702128,0.803191489,0.393617021,0.063829787,0.287234043,0.032085561,0,0,0,1,0,0,0,0,0,0,0.079787234,0.010695187,0,0.069148936,0,0,0.4,0,0,0,0.005434783,0.39893617,0.239361702,0.021276596,0,0,0,0,0,0,0,0,0.234042553,0.015957447,1,0.945652174,0.616352201,0.769230769,0.384615385,0.230769231,0.307692308,0.076923077,0.153846154,0,0,0,0,0,0,0,0,0,0.417142857,0.211428571,0.217142857,0.091428571,0.102857143,0.108571429,0.034285714,0.028571429,0,0.165714286,0.148571429,0.422857143,0.034285714,0.154285714,0,0.022857143,0,0.074285714,0.017142857,0.051428571,0.062857143,0,0,0,0.428571429,0.217142857,0.095744681,0.028571429,0.746031746,0.404255319,0.420212766,0.664893617,0.457446809,0.409574468,0.090425532,0.175531915,0.234042553,0.010638298,0.042553191,0,0,0,0.723404255,0.489361702,0.404255319,0.510638298,0.186170213,0.14893617,0.031914894,0.037234043,0,0,0.553191489,0.537234043,0.734042553,0.372340426,0.132978723,0.117021277,0.042553191,0.021276596,0.015957447,0.074468085,0,0,0,0,0,0.335106383,0,1,0.015873016,0.015873016,0,0.126984127,0.126984127,0.111111111,0,0,1,0,0,0.746031746,0.393617021,0
Al-Anbar,Al-Rutba,7.047619048,5.380952381,0.356993403,0.614414554,0.028592043,0.023809524,0.023809524,0.52918041,0.47081959,0.925925926,0.925925926,0.976190476,0.071428571,0,0.074074074,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.25,0.545454545,0.272727273,0,0.181818182,0.090909091,0.545454545,0,0.69047619,0.285714286,0.166666667,0.904761905,0.095238095,0,0.928571429,1,0.571428571,1,0.392857143,0.035714286,0,0,0,0,0,0,0.035714286,0.035714286,0.035714286,0.523809524,0.595238095,0.071428571,0.047619048,0.023809524,0.047619048,1,0.880952381,0.333333333,1,0.714285714,1,0.414634146,1,0.475,0.761904762,0.761904762,0.785714286,0.166666667,0.023809524,1,0,0.571428571,0.833333333,0.428571429,0.095238095,0.404761905,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.023809524,0,0,0.023809524,0,0,0.333333333,0,0,0,0.026315789,0.238095238,0.238095238,0,0,0,0,0,0,0,0,0,0.095238095,0.071428571,1,0.666666667,0.5,1,0.428571429,0.214285714,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0.222222222,0.185185185,0.074074074,0.074074074,0.037037037,0,0,0,0.259259259,0.111111111,0.333333333,0,0,0,0.111111111,0,0.037037037,0,0.111111111,0.296296296,0,0,0,0.333333333,0.185185185,0.19047619,0.058823529,1,0.595238095,0.285714286,0.571428571,0.428571429,0.547619048,0,0.19047619,0.119047619,0,0.095238095,0,0,0,0.785714286,0.30952381,0.238095238,0.452380952,0.214285714,0.261904762,0.023809524,0.095238095,0,0,0.452380952,0.333333333,0.642857143,0.5,0.023809524,0.238095238,0.142857143,0,0,0.238095238,0,0,0,0,0,0.071428571,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.238095238,1
Al-Anbar,Heet,5.345132743,4.566371681,0.347271386,0.603718921,0.049009692,0.063636364,0.054054054,0.496070375,0.503929625,0.949152542,0.966101695,1,0.132743363,0.084745763,0.033898305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0.0625,0.333333333,0.333333333,0,0,0.333333333,0,0.333333333,0.389380531,0.132743363,0.03539823,1,0,0,0.82300885,0.982300885,0.725663717,0.982300885,0.471428571,0,0,0,0.014285714,0,0,0.1,0.185714286,0.028571429,0,0.743362832,0.415929204,0.061946903,0,0,0.203539823,1,0.991150442,0.17699115,0.991150442,0.761061947,1,0.419642857,0.8,0.5125,0.911504425,0.548672566,0.761061947,0.017699115,0,0.973451327,0,0.707964602,0.876106195,0.238938053,0.026548673,0.247787611,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.571428571,0,0,0,0,0.300884956,0.088495575,0.017699115,0,0,0,0,0,0,0,0,0.292035398,0.097345133,1,0.961165049,0.536842105,0.833333333,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.560747664,0.177570093,0.177570093,0.074766355,0.130841121,0.056074766,0.037383178,0.009345794,0,0.224299065,0.14953271,0.439252336,0.046728972,0.130841121,0,0,0,0.121495327,0,0.037383178,0.130841121,0,0,0.009345794,0.439252336,0.177570093,0.008849558,0.017241379,#N/A,0.309734513,0.336283186,0.601769912,0.513274336,0.451327434,0.07079646,0.247787611,0.353982301,0.026548673,0,0,0,0,0.725663717,0.477876106,0.575221239,0.398230088,0.185840708,0.203539823,0.03539823,0.07079646,0.008849558,0,0.646017699,0.646017699,0.530973451,0.415929204,0.150442478,0.150442478,0.061946903,0.053097345,0.008849558,0.088495575,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.398230088,0
Al-Basrah,Al-Basrah,5,4.703703704,0.295733793,0.691097483,0.013168724,0.12962963,0.111111111,0.504875474,0.495124526,0.928571429,0.928571429,0.981481481,0.148148148,0.035714286,0.071428571,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.090909091,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.592592593,0.425925926,0.092592593,1,0,0,1,1,0.87037037,1,0.4,0,0,0,0,0,0,0.028571429,0.171428571,0,0,0.592592593,0.425925926,0.055555556,0,0,0.111111111,1,0.981481481,0,1,0.796296296,1,0.185185185,0.333333333,0.333333333,0.907407407,0.444444444,0.518518519,0,0,0.981481481,0,0.888888889,0.796296296,0.018518519,0.148148148,0.425925926,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,1,0,0,0,0,0.388888889,0.296296296,0.018518519,0,0,0,0,0,0,0,0,0.259259259,0,1,0.868421053,0.696969697,0.6,0.2,0.3,0.2,0.2,0.1,0,0,0.1,0,0,0,0,0.1,0,0.619047619,0.047619048,0.047619048,0.023809524,0.023809524,0.023809524,0,0.023809524,0.023809524,0.285714286,0.214285714,0.357142857,0.071428571,0.214285714,0,0.119047619,0,0.095238095,0.023809524,0.047619048,0.214285714,0,0,0,0.357142857,0.047619048,0.055555556,0,1,0.333333333,0.240740741,0.648148148,0.444444444,0.425925926,0.203703704,0.222222222,0.314814815,0,0.037037037,0,0,0,0.62962963,0.425925926,0.37037037,0.37037037,0.407407407,0.166666667,0.018518519,0,0,0,0.555555556,0.722222222,0.666666667,0.333333333,0.12962963,0.166666667,0.018518519,0.018518519,0,0,0,0,0,0,0,0.296296296,0.25,0.9375,0,0,0,0.6875,0,0.4375,0,0,1,0,0,1,0.407407407,1
Al-Najaf,Al-Kufa,4.898305085,4.762711864,0.269636437,0.699148874,0.031214689,0.152542373,0.118644068,0.505943209,0.494056791,0.857142857,0.892857143,0.983050847,0.13559322,0.178571429,0.107142857,0.25,0,0,0,0.25,0,0,0,0,0.5,0,0.25,0,0.5,0,0.066666667,0.75,0,0.5,0.5,0,0,0,0.508474576,0.355932203,0.06779661,1,0,0,0.915254237,1,0.830508475,1,0.425,0,0,0,0,0.025,0,0.125,0.25,0.075,0,0.694915254,0.474576271,0.169491525,0,0,0.237288136,0.915254237,0.983050847,0.338983051,1,0.779661017,1,0.322033898,0.571428571,0.4,0.86440678,0.525423729,0.610169492,0.06779661,0,1,0,0.86440678,0.661016949,0.118644068,0.016949153,0.220338983,0.017241379,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.057692308,0,0.018518519,0,0,0,0.6,0,0,0,0,0.271186441,0.13559322,0.016949153,0,0,0,0,0,0,0,0,0.254237288,0,1,0.979591837,0.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.480769231,0.173076923,0.076923077,0.096153846,0.019230769,0.038461538,0,0,0,0.173076923,0.230769231,0.269230769,0.115384615,0.173076923,0,0.019230769,0.057692308,0.057692308,0.173076923,0.096153846,0.192307692,0,0,0,0.346153846,0.076923077,0.186440678,0.086956522,0.785714286,0.220338983,0.338983051,0.694915254,0.305084746,0.338983051,0.050847458,0.305084746,0.355932203,0.033898305,0.033898305,0.033898305,0,0,0.576271186,0.559322034,0.406779661,0.355932203,0.254237288,0.169491525,0.118644068,0.06779661,0.016949153,0.016949153,0.576271186,0.627118644,0.559322034,0.372881356,0.13559322,0.13559322,0.06779661,0,0,0.118644068,0.033898305,0,0,0,0,0.237288136,0.571428571,1,0,0,0,0.214285714,0,0,0,0,1,0,0,0.785714286,0.254237288,1
Al-Najaf,Al-Najaf,6.294117647,5.235294118,0.349522536,0.633467023,0.017010441,0.117647059,0.098039216,0.489373426,0.510626574,0.896551724,0.896551724,1,0.176470588,0,0.103448276,0,0.333333333,0.333333333,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0.333333333,0.041666667,0.071428571,0.666666667,0.333333333,0,0.333333333,0.333333333,0,0,0.607843137,0.254901961,0.196078431,0.901960784,0.098039216,0,1,1,0.843137255,1,0.378378378,0,0,0,0,0,0,0.189189189,0.081081081,0.081081081,0,0.705882353,0.450980392,0.078431373,0,0,0.137254902,0.921568627,0.941176471,0.31372549,1,0.941176471,0.960784314,0.392156863,0.6,0.488888889,0.862745098,0.588235294,0.666666667,0.058823529,0.019607843,1,0.176470588,0.568627451,0.882352941,0.37254902,0.019607843,0.156862745,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.25,0,0,0,0,0.568627451,0.470588235,0.019607843,0,0,0,0,0,0,0,0,0.294117647,0.019607843,1,0.818181818,0.794117647,1,0.625,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.463414634,0.219512195,0.195121951,0.073170732,0.024390244,0.024390244,0,0,0,0.195121951,0.414634146,0.43902439,0.146341463,0.219512195,0,0,0,0.048780488,0.024390244,0.024390244,0.146341463,0,0,0,0.487804878,0.195121951,0.235294118,0,0.692307692,0.274509804,0.392156863,0.784313725,0.235294118,0.176470588,0.039215686,0.431372549,0.509803922,0.019607843,0.019607843,0,0,0,0.725490196,0.647058824,0.450980392,0.352941176,0.137254902,0.078431373,0.078431373,0.039215686,0,0,0.588235294,0.588235294,0.666666667,0.431372549,0.058823529,0.078431373,0.039215686,0,0,0.137254902,0,0,0,0,0,0.254901961,0.153846154,1,0,0,0,0.230769231,0,0,0,0,1,0,0,0.692307692,0.490196078,1
Al-Qadissiya,Al-Diwaniya,5.366666667,5.283333333,0.406593915,0.547414021,0.045992063,0.066666667,0.05,0.518214286,0.481785714,0.923076923,0.923076923,0.95,0.15,0.102564103,0.076923077,0.333333333,0,0.666666667,0,0,0,0,0,0,0.333333333,0,0,0,0,0.037735849,#N/A,0.727272727,0.090909091,0,0,0.727272727,0,0.090909091,0.266666667,0.05,0.05,0.983333333,0.016666667,0,0.7,0.966666667,0.683333333,0.966666667,0.608695652,0.02173913,0,0,0,0.130434783,0,0.456521739,0.065217391,0.02173913,0,0.766666667,0.35,0.1,0.016666667,0.05,0,0.983333333,0.95,0.683333333,0.916666667,0.9,0.966666667,0.216666667,0.333333333,0.232142857,0.866666667,0.4,0.4,0.133333333,0.016666667,0.933333333,0.033333333,0.816666667,0.333333333,0,0.05,0.366666667,0.066666667,0.5,0,0,0,0.5,0,0,0,0,0,0.433333333,0.118644068,0.35,0,0.333333333,0,0.666666667,0,0,0,0,0.816666667,0.8,0,0,0,0,0,0,0,0,0,0.216666667,0.133333333,1,0.98,0.87755102,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.033898305,0,0,0,0,0,0.186440678,0.271186441,0.457627119,0.016949153,0.101694915,0.050847458,0.033898305,0.016949153,0.13559322,0,0.322033898,0.694915254,0,0,0,0.474576271,0,0.116666667,0,0,0,0.183333333,0.8,0.15,0.183333333,0.05,0.283333333,0.683333333,0,0.183333333,0,0,0.083333333,0.816666667,0.3,0.233333333,0.316666667,0.033333333,0.083333333,0.216666667,0.316666667,0,0,0.45,0.433333333,0.516666667,0.5,0.05,0.183333333,0.3,0.05,0,0.05,0,0,0,0,0,0.083333333,0.2,0.8,0,0,0,0,0,0.2,0,0,0.4,0.4,0.6,0,0.1,1
Al-Sulaymaniyah,Al-Sulaymaniyah,5.604651163,5.593023256,0.420618142,0.536824222,0.042557636,0.085365854,0.085365854,0.501447616,0.498552384,0.694915254,0.694915254,0.639534884,0.174418605,0.016949153,0.305084746,0.111111111,0,0.5,0,0.222222222,0,0,0,0,0.055555556,0,0.055555556,0,0.111111111,0,0.25,0.9,0.1,0,0.3,0,0,0.1,0.930232558,0.581395349,0.162790698,0.906976744,0.081395349,0.011627907,0.930232558,0.965116279,0.11627907,0.965116279,0.704545455,0.045454545,0,0.068181818,0.204545455,0.022727273,0,0.068181818,0,0,0.022727273,0.406976744,0.453488372,0.11627907,0.034883721,0.174418605,0.034883721,1,0.790697674,0.197674419,0.976744186,0.953488372,0.825581395,0.790697674,1,0.702702703,0.541176471,0.360465116,0.61627907,0.476744186,0.034883721,0.918604651,0.046511628,0.906976744,1,0.058139535,0.120481928,0.38372093,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.2,0,0,0,0,0.197674419,0.151162791,0,0,0,0,0,0,0,0,0,0.174418605,0.034883721,1,0.983870968,0.618181818,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.475609756,0.353658537,0.048780488,0.134146341,0.243902439,0,0,0.024390244,0,0,0.536585366,0.402439024,0,0.036585366,0,0.012195122,0.012195122,0,0,0,0.012195122,0,0.073170732,0,0.402439024,0.048780488,0.139534884,0,0.52173913,0.813953488,0.244186047,0.744186047,0.034883721,0.069767442,0.023255814,0.058139535,0.302325581,0.011627907,0.174418605,0,0,0.069767442,0.872093023,0.639534884,0.360465116,0.069767442,0.058139535,0.011627907,0,0.209302326,0,0,0.511627907,0.5,0.488372093,0.639534884,0.081395349,0.151162791,0.069767442,0,0,0.011627907,0,0,0,0,0.011627907,0.26744186,0.086956522,0.869565217,0,0,0,0,0.260869565,0.260869565,0,0,0.260869565,0.652173913,0.058823529,0.571428571,0.069767442,1
Al-Sulaymaniyah,Chamchamal,5.8,5.75,0.472572751,0.507242063,0.020185185,0.142857143,0.160714286,0.476269841,0.523730159,0.604651163,0.604651163,0.666666667,0.3,0.023255814,0.395348837,0.294117647,0.058823529,0.470588235,0,0.058823529,0,0,0,0.235294118,0,0,0.058823529,0,0.117647059,0.02173913,0.111111111,0.888888889,0,0,0.222222222,0,0.111111111,0,0.766666667,0.383333333,0.183333333,0.933333333,0.066666667,0,0.866666667,0.95,0.266666667,0.9,0.565217391,0.043478261,0,0.086956522,0.086956522,0,0,0.086956522,0.043478261,0,0,0.566666667,0.55,0.083333333,0.05,0.083333333,0.016666667,1,0.75,0.2,1,0.933333333,0.916666667,0.933333333,1,0.603773585,0.55,0.233333333,0.45,0.266666667,0,0.9,0.033333333,0.933333333,0.966666667,0.016666667,0.101694915,0.75,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.016949153,0,0,0,0.016666667,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.116666667,0.066666667,1,1,0.604166667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.724137931,0.25862069,0.068965517,0.120689655,0.086206897,0.017241379,0,0,0,0,0.413793103,0.413793103,0.051724138,0.103448276,0.017241379,0.017241379,0,0,0,0,0,0,0,0,0.413793103,0.068965517,0.1,#N/A,0.375,0.9,0.4,0.783333333,0.016666667,0.083333333,0.05,0,0.15,0.016666667,0.133333333,0.016666667,0,0.05,0.916666667,0.516666667,0.3,0.133333333,0.166666667,0.033333333,0,0.083333333,0,0,0.6,0.416666667,0.316666667,0.7,0.166666667,0.133333333,0.083333333,0,0,0,0,0,0,0,0,0.133333333,0.125,0.875,0,0,0,0,0.125,0,0,0,0.375,0.571428571,0,0.375,0.033333333,1
