indicator_id,sector,indicator_desc,variable,percent
a7,Family Profile,Average household size,Average household size,
a8,Family Profile,Average family size ,Average family size ,
a10_child,Family Profile,% of children family members,% of children family members,yes
a10_adult,Family Profile,% of adult family members,% of adult family members,yes
a10_elder,Family Profile,% of elderly family members,% of elderly family members,yes
a11,Family Profile,"% of single-headed households (separated, divorced, widowed) ","% of single-headed households (separated, divorced, widowed) ",yes
a14,Family Profile,"% of female-headed households (separated, divorced, widowed) ","% of female-headed households (separated, divorced, widowed) ",yes
a9_male,Protection - GBV ,% of male family members,% of male family members,yes
a9_female,Protection - GBV ,% of female family members,% of female family members,yes
g5,Education,% of HH where all children attended formal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,% of HH where all children attended formal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,yes
g6,Education,% of HH where all children attended formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,% of HH where all children attended formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,yes
g5,Protection - CP,% of HH where all children attended formal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,% of HH where all children attended formal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,yes
g6,Protection - CP,% of HH where all children attended formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,% of HH where all children attended formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,yes
g8,Education,% HH with a functional primary and secondary school within 5km,%HH with a functional primary and secondary school within 5km,yes
g9,Education,% of HH with at least one child dropping out of school in the previous year,% of HH with at least one child dropping out of school in the previous year,yes
g19,Education,"% of households with at least one child regularly attending formal or informal education (at least 4 days a week) prior to the COVID-19 outbreak, while also working or contributing to the household income","% of households with at least one child regularly attending formal or informal education (at least 4 days a week) prior to the COVID-19 outbreak, while also working or contributing to the household income",yes
g4,Education,% HH with at least one child not attending formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,% HH with at least one child not attending formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,yes
g7_i,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"School stopped functioning and is now closed (Examples include: Occupied by armed forces, Partially damaged, Totally damaged, Occupied by displaced persons, Lack of students)",yes
g7_ii,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Going or attending school is not safe (Examples include: it is unsafe to travel or go to school, Fear of recruitment in/on way to school, Fear of bombing, Fear of violence against children at school (corporal punishment, harassment by teachers and other students, bullying, etc.), Fear of abduction in/on way to school)",yes
g7_iii,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"We cannot afford to pay for the school related expenses (Examples include: Cannot afford to pay for the school fees (e.g. school supplies, tuition, textbook, food, uniforms, etc.), Cannot afford to pay for transport)",yes
g7_iv,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"We are not able to register or enrol our children in the school (Examples include: Recent or continuous movement to different locations, Newly arrived at location and have yet to enrol/register, Unable to enrol school due to discrimination, Poor performance/dismissed)",yes
g7_v,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Our children canÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢t physically go to the school (Examples include: Disability (of child), Traumatization (of child), School is too far away, No transport available to bring to school, No fuel available to bring to school, Child ill, disabled or unhealthy, Child is too young)",yes
g7_vi,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),School and classes are overcrowded,yes
g7_vii,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Lack of staff to run the school (Examples include: Lack of teachers, Lack of skilled/trained teachers, Lack of gender appropriate teachers/staff)",yes
g7_viii,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"The school infrastructure is poor (Examples include: The schools building is in poor condition (e.g. lack of furniture, no electricity, water leaks, poor latrines, poor amenities, etc.), The WASH facilities are in poor conditions (latrines maintenance, smell, lightning, gender segregation, etc.)",yes
g7_ix,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),The curriculum and teaching are not adapted for our children (Examples include: Curriculum is not appropriate; Language is not appropriate),yes
g7_x,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Our children are busy working or supporting the household (Examples include: Children need to stay at home and assist the family with household chores or contribute to HH income, Early marriage)",yes
g7_xi,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Parental refusal to send children to school (Examples include: Customs/tradition, Don't believe schooling is necessary/do not consider education important, Missed too much school to make up, Children shouldn't get western education)",yes
g7_xii,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),Lack of interest of children in education.,yes
g7_xiii,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),Lack of valid documentation.,yes
g7_xiv,Education,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),other,yes
g4,Protection - CP,% HH with at least one child not attending formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,% HH with at least one child not attending formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,yes
g7_i,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"School stopped functioning and is now closed (Examples include: Occupied by armed forces, Partially damaged, Totally damaged, Occupied by displaced persons, Lack of students)",yes
g7_ii,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Going or attending school is not safe (Examples include: it is unsafe to travel or go to school, Fear of recruitment in/on way to school, Fear of bombing, Fear of violence against children at school (corporal punishment, harassment by teachers and other students, bullying, etc.), Fear of abduction in/on way to school)",yes
g7_iii,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"We cannot afford to pay for the school related expenses (Examples include: Cannot afford to pay for the school fees (e.g. school supplies, tuition, textbook, food, uniforms, etc.), Cannot afford to pay for transport)",yes
g7_iv,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"We are not able to register or enrol our children in the school (Examples include: Recent or continuous movement to different locations, Newly arrived at location and have yet to enrol/register, Unable to enrol school due to discrimination, Poor performance/dismissed)",yes
g7_v,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Our children canÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢t physically go to the school (Examples include: Disability (of child), Traumatization (of child), School is too far away, No transport available to bring to school, No fuel available to bring to school, Child ill, disabled or unhealthy, Child is too young)",yes
g7_vi,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),School and classes are overcrowded,yes
g7_vii,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Lack of staff to run the school (Examples include: Lack of teachers, Lack of skilled/trained teachers, Lack of gender appropriate teachers/staff)",yes
g7_viii,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"The school infrastructure is poor (Examples include: The schools building is in poor condition (e.g. lack of furniture, no electricity, water leaks, poor latrines, poor amenities, etc.), The WASH facilities are in poor conditions (latrines maintenance, smell, lightning, gender segregation, etc.)",yes
g7_ix,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),The curriculum and teaching are not adapted for our children (Examples include: Curriculum is not appropriate; Language is not appropriate),yes
g7_x,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Our children are busy working or supporting the household (Examples include: Children need to stay at home and assist the family with household chores or contribute to HH income, Early marriage)",yes
g7_xi,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),"Parental refusal to send children to school (Examples include: Customs/tradition, Don't believe schooling is necessary/do not consider education important, Missed too much school to make up, Children shouldn't get western education)",yes
g7_xii,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),Lack of interest of children in education.,yes
g7_xiii,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),Lack of valid documentation.,yes
g7_xiv,Protection - CP,Main barriers to school for school-aged children (as a percentage of HHs in which at least one child is not attending formal education regularly),other,yes
a13,Famile profile,% HH with at least one person under (<18) working,% HH with at least one person under (<18) working,yes
a13,Protection - CP,% HH with at least one person under (<18) working,% HH with at least one person under (<18) working,yes
