indicator_id,sector,indicator_desc,variable,tooltip,Returnees,Out_Camp,In_Camp
a7,Household Profile,Average household size,Average household size,Average household size,1,1,1
a8,Household Profile,Average family size ,Average family size ,Average family size ,1,1,1
a10_child,Household Profile,Child family members,% child family members,of family members are children,1,1,1
a10_adult,Household Profile,Adult family members,% adult family members,of family members are adults,1,1,1
a10_elderly,Household Profile,Elderly family members,% elderly family members,of family members are elderly,1,1,1
a11,Household Profile,Single-headed households,"% of heads of household separated, divorced or widowed",of households are single-headed,1,1,1
a14,Household Profile,Single female-headed households,"% of heads of household  who were female (separated, divorced or widowed)",of households are single <br>female-headed ,1,1,1
a9_male,Protection - GBV ,Male family members,% male family members,of family members are male,1,1,1
a9_female,Protection - GBV ,Female family members,% female family members,of family members are female,1,1,1
g5,Education,Formal Education,% of households where all children attended formal education regularly - at least 4 days a week prior to the COVID-19 outbreak,"of households reported all children <br>attending formal or informal education<br> regularly, prior to the COVID-19 outbreak",1,1,1
g6,Education,Formal or informal Education,% of households where all children attended formal or informal education regularly - at least 4 days a week prior to the COVID-19 outbreak,"of households reported all children <br>attending formal education regularly, <br>prior to the COVID-19 outbreak",1,1,1
g5,Protection - child protection,Formal Education,% of households where all children attended formal education regularly - at least 4 days a week prior to the COVID-19 outbreak,"of households reported all children <br>attending formal or informal education<br> regularly, prior to the COVID-19 outbreak",1,1,1
g6,Protection - child protection,Formal/Informal Education,% of households where all children attended formal or informal education regularly - at least 4 days a week prior to the COVID-19 outbreak,"of households reported all children <br>attending formal education regularly, <br>prior to the COVID-19 outbreak",1,1,1
g8,Education,Nearby schools,% of households with a functional primary and secondary school within 5km,of households reported a functional primary<br> and secondary school within 5km,1,1,1
g9,Education,Children dropping out of school,% of households with at least one child dropping out of school in the previous year,of households reported at least<br> one child dropping out of school<br> in the previous year,1,1,1
g19,Education,Attending school and working,"% of households with at least one child regularly attending formal or informal education (at least 4 days a week) prior to the COVID-19 outbreak, while also working or contributing to the household income",of households reported at least one child<br> regularly attending formal or informal <br>education while also working ,1,1,1
g4,Education,Children not attending school,% of households with at least one child not attending formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,of households with at least one<br> child not attending formal or informal<br> education regularly,1,1,1
g7_i,Education,Barriers to school - school stopped functioning,School stopped functioning and is now closed (% of households in which at least one school-aged child is not attending formal education regularly),of households reported school<br> closing as a barrier to children attending<br> school,1,1,1
g7_ii,Education,Barriers to school - school not safe,Going or attending school is not safe (% of households in which at least one school-aged child is not attending formal education regularly),of households reported feeling<br>unsafe as a barrier to children attending<br> school,1,1,1
g7_iii,Education,Barriers to school - school too expensive,Cannot afford to pay for the school related expenses (% of households in which at least one school-aged child is not attending formal education regularly),of households reported school<br> fees as a barrier to children attending<br> school,1,1,1
g7_iv,Education,Barriers to school - unable to register,Unable to register or enrol our children in the school (% of households in which at least one school-aged child is not attending formal education regularly),of households reported inability to<br> register as a barrier to children attending<br> school,1,1,1
g7_v,Education,Barriers to school - physically cannot attend,Children cant physically go to the school (% of households in which at least one school-aged child is not attending formal education regularly),of households reported child<br> physically cannot attend as a barrier to children<br>attending school,1,1,1
g7_vi,Education,Barriers to school - school overcrowded,School and classes are overcrowded (% of households in which at least one school-aged child is not attending formal education regularly),of households reported overcrowded<br> schools as a barrier to children attending<br> school,1,1,1
g7_vii,Education,Barriers to school - school lacks staff,Lack of staff to run the school (% of households in which at least one school-aged child is not attending formal education regularly),of households reported lack of<br> staff as a barrier to children attending<br> school,1,1,1
g7_viii,Education,Barriers to school - poor infrastructure,The school infrastructure is poor (% of households in which at least one school-aged child is not attending formal education regularly),of households reported poor school<br> infrastructure as a barrier to children attending<br> school,1,1,1
g7_ix,Education,Barriers to school - curriculum not adapted,The curriculum and teaching are not adapted for our children (% of households in which at least one school-aged child is not attending formal education regularly),of households reported curriculums<br> not adapted as a barrier to children attending<br> school,1,1,1
g7_x,Education,Barriers to school - children work,Children are busy working or supporting the household (% of households in which at least one school-aged child is not attending formal education regularly),of households reported children<br> working as a barrier to children attending<br> school,1,1,1
g7_xi,Education,Barriers to school - parental refusal,Parental refusal to send children to school (% of households in which at least one school-aged child is not attending formal education regularly),of households reported parental<br> refusal as a barrier to children attending<br> school,1,1,1
g7_xii,Education,Barriers to school - children not interested,Lack of interest of children in education (% of households in which at least one school-aged child is not attending formal education regularly),of households reported lack of<br> interest as a barrier to children attending<br> school,1,1,1
g7_xiii,Education,Barriers to school - lack documents,Lack of valid documentation (% of households in which at least one school-aged child is not attending formal education regularly),of households reported lack of<br> documents as a barrier to children attending<br> school,1,1,1
g4,Protection - child protection,Children not attending school,% of households with at least one child not attending formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,of households with at least one<br> child not attending formal or informal<br> education regularly,1,1,1
g7_i,Protection - child protection,Barriers to school - school stopped functioning,School stopped functioning and is now closed (% of households in which at least one school-aged child is not attending formal education regularly),of households reported school<br> closing as a barrier to children attending<br> school,1,1,1
g7_ii,Protection - child protection,Barriers to school - school not safe,Going or attending school is not safe (% of households in which at least one school-aged child is not attending formal education regularly),of households reported feeling<br>unsafe as a barrier to children attending<br> school,1,1,1
g7_iii,Protection - child protection,Barriers to school - school too expensive,Cannot afford to pay for the school related expenses (% of households in which at least one school-aged child is not attending formal education regularly),of households reported school<br> fees as a barrier to children attending<br> school,1,1,1
g7_iv,Protection - child protection,Barriers to school - unable to register,Unable to register or enrol our children in the school (% of households in which at least one school-aged child is not attending formal education regularly),of households reported inability to<br> register as a barrier to children attending<br> school,1,1,1
g7_v,Protection - child protection,Barriers to school - physically cannot attend,Children cant physically go to the school (% of households in which at least one school-aged child is not attending formal education regularly),of households reported child<br> physically cannot attend as a barrier to children<br>attending school,1,1,1
g7_vi,Protection - child protection,Barriers to school - school overcrowded,School and classes are overcrowded (% of households in which at least one school-aged child is not attending formal education regularly),of households reported overcrowded<br> schools as a barrier to children attending<br> school,1,1,1
g7_vii,Protection - child protection,Barriers to school - school lacks staff,Lack of staff to run the school (% of households in which at least one school-aged child is not attending formal education regularly),of households reported lack of<br> staff as a barrier to children attending<br> school,1,1,1
g7_viii,Protection - child protection,Barriers to school - poor infrastructure,The school infrastructure is poor (% of households in which at least one school-aged child is not attending formal education regularly),of households reported poor school<br> infrastructure as a barrier to children attending<br> school,1,1,1
g7_ix,Protection - child protection,Barriers to school - curriculum not adapted,The curriculum and teaching are not adapted for our children (% of households in which at least one school-aged child is not attending formal education regularly),of households reported curriculums<br> not adapted as a barrier to children attending<br> school,1,1,1
g7_x,Protection - child protection,Barriers to school - children work,Children are busy working or supporting the household (% of households in which at least one school-aged child is not attending formal education regularly),of households reported children<br> working as a barrier to children attending<br> school,1,1,1
g7_xi,Protection - child protection,Barriers to school - parental refusal,Parental refusal to send children to school (% of households in which at least one school-aged child is not attending formal education regularly),of households reported parental<br> refusal as a barrier to children attending<br> school,1,1,1
g7_xii,Protection - child protection,Barriers to school - children not interested,Lack of interest of children in education (% of households in which at least one school-aged child is not attending formal education regularly),of households reported lack of<br> interest as a barrier to children attending<br> school,1,1,1
g7_xiii,Protection - child protection,Barriers to school - lack documents,Lack of valid documentation (% of households in which at least one school-aged child is not attending formal education regularly),of households reported lack of<br> documents as a barrier to children attending<br> school,1,1,1
a13,Household Profile,Under 18 and working,% of households with at least one person under (<18) working,of households reported at least one<br> person under (<18) working,1,1,1
a13,Protection - child protection,Under 18 and working,% of households with at least one person under (<18) working,of households reported at least one<br> person under (<18) working,1,1,1
g44,Household Profile,Unemployment,% of households with at least one adult (18+) unemployed and seeking work,of households reported at least<br> one adult (18+) unemployed<br> and seeking work,1,1,1
g44,Livelihoods,Unemployment,% of households with at least one adult (18+) unemployed and seeking work,of households reported at least<br> one adult (18+) unemployed<br> and seeking work,1,1,1
g45_i,Livelihoods,Barriers to employment - increased competition,Main barriers to employment (as a percentage of households with at least one member that is unemployed) - Increased competition for jobs; not enough jobs for everyone,of households reported increased <br> competition as a main barrier to employment,1,1,1
g45_ii,Livelihoods,Barriers to employment - jobs too far away,Main barriers to employment (as a percentage of households with at least one member that is unemployed) - Available jobs are too far away,of households reported available jobs <br> too far away as a main barrier to employment,1,1,1
g45_iii,Livelihoods,Barriers to employment - only low paying jobs available,"Main barriers to employment (as a percentage of households with at least one member that is unemployed) - Only low-skilled, socially degrading or low-paid jobs are available",of households reported only <br> low paying jobs available <br> as a main barrier to employment,1,1,1
g45_iv,Livelihoods,Barriers to employment - underqualified,Main barriers to employment (as a percentage of households with at least one member that is unemployed) - Underqualified for available jobs,of households reported underqualification for <br> available jobs as a main barrier to employment,1,1,1
g45_v,Livelihoods,Barriers to employment - lack of connections,Main barriers to employment (as a percentage of households with at least one member that is unemployed) - Lack of family/personal connections,of households reported lack of <br> connections as a main barrier to employment,1,1,1
g45_vi,Livelihoods,Barriers to employment - lack of opportunities for women,Main barriers to employment (as a percentage of households with at least one member that is unemployed) - Lack of livelihood and employment opportunities for women,of households reported lack of <br> opportunities for women as a main<br> barrier to employment,1,1,1
g45_vii,Livelihoods,Barriers to employment - none,Main barriers to employment (as a percentage of households with at least one member that is unemployed) - None,of households reported no main<br> barriers to employment,1,1,1
b5,Livelihoods,Stress coping strategies,% of households relying on stress strategies to cope with a lack of resources to meet basic needs.,of households reported relying on stress <br>strategies to cope with a lack of <br>resources to meet basic needs.,1,1,1
b6,Livelihoods,Crisis coping strategies,% of households relying on crisis strategies to cope with a lack of resources to meet basic needs.,of households reported relying on crisis strategies<br> to cope with a lack of resources <br>to meet basic needs.,1,1,1
b7,Livelihoods,Emergency coping strategies,% of households relying on emergency strategies to cope with a lack of resources to meet basic needs.,of households reported relying on emergency<br> strategies to cope with a lack of <br>resources to meet basic needs.,1,1,1
