indicator_id,sector,indicator_desc,variable,tooltip,returnee,,,,,,,,,,,ind,
a7,Household Profile,Average household size,,Average household size,y,,,,,,,,,,,a7,a7
a8,Household Profile,Average family size ,,Average family size ,y,,,,,,,,,,,a8,a8
a10_child,Household Profile,Child family members,% child family members,% of family members are children,y,,,,,,,,,,,a10_child,a10_child
a10_adult,Household Profile,Adult family members,% adult family members,% of family members are adults,y,,,,,,,,,,,a10_adult,a10_adult
a10_elder,Household Profile,Elderly family members,% elderly family members,% of family members are elderly,y,,,,,,,,,,,a10_elder,a10_elder
a11,Household Profile,Single-headed households,"% of heads of household separated, divorced or widowed",% of households are single-headed,y,,,,,,,,,,,a11,a11
a14,Household Profile,Single female-headed households,"% of heads of household  who were female (separated, divorced or widowed)",% of households are single <br>female-headed ,y,,,,,,,,,,,a14,a14
a9_male,Protection - GBV ,Male family members,% male family members,% of family members are male,y,,,,,,,,,,,a9_male,a9_male
a9_female,Protection - GBV ,Female family members,% female family members,% of family members are female,y,,,,,,,,,,,a9_female,a9_female
g5,Education,Formal Education,% of households where all children attended formal education regularly - at least 4 days a week prior to the COVID-19 outbreak,"% of households reported all children <br>attending formal or informal education<br> regularly, prior to the COVID-19 outbreak",y,,,,,,,,,,,g5,g5
g6,Education,Formal or informal Education,% of households where all children attended formal or informal education regularly - at least 4 days a week prior to the COVID-19 outbreak,"% of households reported all children <br>attending formal education regularly, <br>prior to the COVID-19 outbreak",y,,,,,,,,,,,g6,g6
g5,Protection - CP,Formal Education,% of households where all children attended formal education regularly - at least 4 days a week prior to the COVID-19 outbreak,"% of households reported all children <br>attending formal or informal education<br> regularly, prior to the COVID-19 outbreak",y,,,,,,,,,,,g5,g5
g6,Protection - CP,Formal/Informal Education,% of households where all children attended formal or informal education regularly - at least 4 days a week prior to the COVID-19 outbreak,"% of households reported all children <br>attending formal education regularly, <br>prior to the COVID-19 outbreak",y,,,,,,,,,,,g6,g6
g8,Education,Nearby schools,% of households with a functional primary and secondary school within 5km,% of households reported a functional primary<br> and secondary school within 5km,y,,,,,,,,,,,g8,g8
g9,Education,Children dropping out of school,% of households with at least one child dropping out of school in the previous year,% of households reported at least<br> one child dropping out of school<br> in the previous year,y,,,,,,,,,,,g9,g9
g19,Education,School and work,"% of households with at least one child regularly attending formal or informal education (at least 4 days a week) prior to the COVID-19 outbreak, while also working or contributing to the household income",% of households reported at least one child<br> regularly attending formal or informal <br>education while also working ,y,,,,,,,,,,,g19,g19
g4,Education,Children not attending school,% of households with at least one child not attending formal or informal education regularly (at least 4 days a week) prior to the COVID-19 outbreak,% of households with at least one<br> child not attending formal or informal<br> education regularly,y,,,,,,,,,,,g4,g4
g7_i,Education,Barriers to school - school stopped functioning,School stopped functioning and is now closed (% of households in which at least one school-aged child is not attending formal education regularly),% of households reported school<br> closing as a barrier to children attending<br> school,y,,,,,,,,,,,g7_i,g7_i
g7_ii,Education,Barriers to school - school not safe,Going or attending school is not safe (% of households in which at least one school-aged child is not attending formal education regularly),% of households reported feeling<br>unsafe as a barrier to children attending<br> school,y,,,,,,,,,,,g7_ii,g7_ii
g7_iii,Education,Barriers to school - school too expensive,We cannot afford to pay for the school related expenses (% of households in which at least one school-aged child is not attending formal education regularly),% of households reported school<br> fees as a barrier to children attending<br> school,y,,,,,,,,,,,g7_iii,g7_iii
